id,name,address,latitude,longitude,free_bikes,empty_slots,total_capacity
a01694b2c46930405f6a2b967722ad7a,228- Van Heetvelde,Van Heetveldelei,51.22984,4.45141,13,10,23
a16d8bb478af3e535eeadb4491baf856,246- Arena,Arenaplein,51.20695,4.45833,18,17,35
a335fe6ffe5b2853ab64148a38b5b5dc,016- Marnixplaats,Karel Rogierstraat ,51.21016,4.39661,15,12,27
a3fc987b920fb9b990852081961577af,284- Steynsstraat,Steynsstraat,51.18323,4.36413,15,20,35
a4068718264718d3a30589f25d014e5c,266- Fruithoflaan 1,Fruithoflaan - Sint-Theresiastraat,51.18076,4.43471,1,35,36
a5559bf3dbd334ea0a80f909bc510417,252- Te Boelaerpark/Gitschotellei,Karel de Preterlei,51.20001,4.45028,0,31,31
a643ab863215cfc06579529000623afb,150- Waterhoenlaan,Waterhoenlaan,51.22007,4.38172,8,16,24
a6680509950500373334fafe6e522e71,035- Cockerillkaai,cockerillkaai,51.21032,4.3877,11,25,36
a737e3604a0de6ba455228ce543987dd,237- Ter Rivieren,Ter Rivierenlaan,51.22033,4.46925,10,25,35
a7800f88a37a4716cbeba7b664bf1305,118- Dambrugge,Trapstraat n° 10,51.22714,4.42225,4,17,21
a8d4ef7a5918e46fc41afebe42bfaa18,159- Den Bell 2,Boudewijnsstraat,51.2056,4.39928,3,27,30
